event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-001,B00013,0,2020-06-30,wet,1209,911439.6165678375,13.222905002393425,89.74633038294073,8.75,17.5,79.75,98.0,98.02606964111328,216.48231506347656,118513.515625
EVT-2020-002,B00015,0,2020-06-30,wet,627,480774.5632723331,8.312940292454957,72.898325217212,6.0,12.25,68.0,78.5,83.12975311279297,181.1507568359375,52122.35546875
EVT-2020-003,B00018,0,2020-06-30,dry,263,165170.06055346783,35.68430723705777,85.32947071316076,34.0,37.0,75.25,91.25,-18.47834014892578,-36.972679138183594,-4859.80322265625
EVT-2020-004,B00012,0,2020-06-30,wet,187,139155.45839983755,16.082194750166433,70.76839556798217,14.25,18.25,68.0,73.0,164.21929931640625,333.8846740722656,30709.009765625
EVT-2020-005,B00006,0,2020-06-30,wet,161,113943.16038094519,23.998307647092712,85.95175293497675,21.75,26.0,82.5,88.75,115.7614517211914,230.30032348632812,18637.59375
EVT-2020-006,B00001,0,2020-06-30,wet,164,106070.6379813076,32.89746076939528,93.99170963399379,30.25,36.25,90.0,98.0,29.982662200927734,58.44609069824219,4917.15673828125
EVT-2020-007,B00005,0,2020-06-30,wet,131,90961.47624697635,26.553843949941268,82.35903699325979,24.25,29.0,80.5,84.25,118.0567626953125,367.0746154785156,15465.435546875
EVT-2020-008,B00010,0,2020-06-30,wet,99,72718.8254424682,18.623676346047578,74.74478451291095,16.25,20.75,73.75,76.5,76.17422485351562,122.59690856933594,7541.248046875
EVT-2020-009,B00024,0,2020-06-30,dry,68,45562.10711194586,30.02299794587611,79.84114682200541,29.25,31.0,78.0,82.25,-77.87751007080078,-161.62744140625,-5295.6708984375
EVT-2020-010,B00014,0,2020-06-30,wet,48,36390.47262522758,11.875953066700216,69.70345247309598,10.5,13.5,69.0,70.5,124.54630279541016,174.08407592773438,5978.22265625
EVT-2020-011,B00025,0,2020-06-30,dry,49,32952.819916100256,29.672721093180407,97.3042734177982,28.0,30.75,94.75,98.0,-55.221839904785156,-85.81495666503906,-2705.8701171875
EVT-2020-012,B00009,0,2020-06-30,wet,40,29091.053605703844,20.210694457261745,76.05158990214797,18.75,21.5,75.25,77.0,90.82400512695312,133.29647827148438,3632.960205078125
EVT-2020-013,B00028,0,2020-06-30,dry,38,27772.964465151377,19.230311945246875,96.28979861346495,18.25,20.75,95.75,97.5,-59.1427001953125,-102.05511474609375,-2247.422607421875
EVT-2020-014,B00011,0,2020-06-30,wet,33,24202.28379670036,18.808429722971404,83.42145041698231,17.5,19.75,82.5,84.25,83.88085174560547,121.40336608886719,2768.068115234375
EVT-2020-015,B00007,0,2020-06-30,wet,34,24029.61752942473,24.100968359332885,79.56403168402517,23.25,25.0,78.5,80.25,65.6754379272461,83.9484634399414,2232.96484375
EVT-2020-016,B00016,0,2020-06-30,wet,29,22139.448177814647,9.693296182378909,83.25055186393284,8.5,10.5,82.0,84.0,43.987693786621094,51.591712951660156,1275.64306640625
EVT-2020-017,B00027,0,2020-06-30,dry,29,20054.86393660098,26.80811816940347,94.70064113929148,26.0,27.5,94.0,95.75,-102.76996612548828,-157.86444091796875,-2980.3291015625
EVT-2020-018,B00026,0,2020-06-30,dry,24,16335.549495108567,28.518320302612963,91.21414207408394,28.25,28.75,90.0,92.25,-41.37668228149414,-76.35942077636719,-993.0404052734375
EVT-2020-019,B00022,0,2020-06-30,dry,25,15913.040826446255,34.71467628647387,75.46401032565406,34.25,35.0,74.5,76.75,-28.352773666381836,-67.33401489257812,-708.8193359375
EVT-2020-020,B00017,0,2020-06-30,wet,17,13011.672361971285,8.831930323182577,96.92786614377405,8.25,9.25,96.5,97.5,57.73381805419922,70.68904113769531,981.4749145507812
EVT-2020-021,B00020,0,2020-06-30,dry,20,12403.405327302997,36.808990643331796,96.09439569326224,36.5,37.0,95.25,97.0,-7.306870460510254,-9.808858871459961,-146.1374053955078
EVT-2020-022,B00003,0,2020-06-30,wet,14,9213.261690913801,31.830492794671645,92.78918708620719,31.5,32.25,92.25,93.25,53.04218292236328,70.05946350097656,742.590576171875
